"","Species","states"
"193","Cercopithecus_doggetti",0
"194","Cercopithecus_dryas",0
"195","Cercopithecus_erythrogaster",0
"196","Cercopithecus_erythrotis",0
"197","Cercopithecus_hamlyni",0
"198","Cercopithecus_kandti",1
"199","Cercopithecus_lhoesti",0
"200","Cercopithecus_lowei",0
"201","Cercopithecus_mitis",0
"202","Cercopithecus_mona",0
"203","Cercopithecus_neglectus",0
"204","Cercopithecus_nictitans",0
"205","Cercopithecus_petaurista",0
"206","Cercopithecus_pogonias",0
"207","Cercopithecus_preussi",0
"208","Cercopithecus_roloway",0
"209","Cercopithecus_sclateri",0
"210","Cercopithecus_solatus",0
"211","Cercopithecus_wolfi",0
"212","Chiropotes_albinasus",1
"213","Chiropotes_chiropotes",1
"214","Chiropotes_israelita",1
"215","Chiropotes_satanas",1
"216","Chiropotes_utahickae",1
"217","Chlorocebus_aethiops",0
"218","Chlorocebus_cynosurus",0
"219","Chlorocebus_djamdjamensis",1
"220","Chlorocebus_pygerythrus",0
"221","Chlorocebus_sabaeus",0
"222","Chlorocebus_tantalus",0
"223","Colobus_angolensis",1
"224","Colobus_guereza",1
"225","Colobus_polykomos",1
"226","Colobus_satanas",1
"227","Colobus_vellerosus",1
"228","Erythrocebus_patas",1
"229","Gorilla_beringei",1
"230","Gorilla_gorilla",0
"231","Homo_sapiens",0
"232","Hylobates_agilis",0
"233","Hylobates_albibarbis",0
"234","Hylobates_klossii",0
"235","Hylobates_lar",0
"236","Hylobates_moloch",0
"237","Hylobates_muelleri",0
"238","Hylobates_pileatus",0
"239","Lagothrix_cana",0
"240","Lagothrix_lagotricha",0
"241","Lagothrix_lugens",0
"242","Lagothrix_poeppigii",0
"243","Leontopithecus_caissara",0
"244","Leontopithecus_chrysomelas",0
"245","Leontopithecus_chrysopygus",0
"246","Leontopithecus_rosalia",0
"247","Lophocebus_albigena",0
"248","Lophocebus_aterrimus",0
"249","Lophocebus_opdenboschi",0
"250","Macaca_arctoides",0
"251","Macaca_assamensis",0
"252","Macaca_cyclopis",0
"253","Macaca_fascicularis",0
"254","Macaca_fuscata",0
"255","Macaca_hecki",0
"256","Macaca_leonina",0
"257","Macaca_maura",0
"258","Macaca_mulatta",0
"259","Macaca_munzala",0
"260","Macaca_nemestrina",0
"261","Macaca_nigra",0
"262","Macaca_nigrescens",0
"263","Macaca_ochreata",0
"264","Macaca_pagensis",0
"265","Macaca_radiata",0
"266","Macaca_siberu",0
"267","Macaca_silenus",0
"268","Macaca_sinica",0
"269","Macaca_sylvanus",1
"270","Macaca_thibetana",0
"271","Macaca_tonkeana",0
"272","Mandrillus_leucophaeus",0
"273","Mandrillus_sphinx",0
"274","Miopithecus_ogouensis",1
"275","Miopithecus_talapoin",1
"276","Nasalis_larvatus",1
"277","Nomascus_concolor",0
"278","Nomascus_gabriellae",0
"279","Nomascus_hainanus",0
"280","Nomascus_leucogenys",0
"281","Nomascus_siki",0
"282","Oreonax_flavicauda",0
"283","Pan_paniscus",0
"284","Pan_troglodytes",0
"285","Papio_anubis",0
"286","Papio_cynocephalus",0
"287","Papio_hamadryas",1
"288","Papio_papio",0
"289","Papio_ursinus",0
"290","Piliocolobus_badius",1
"291","Piliocolobus_foai",1
"292","Piliocolobus_gordonorum",1
"293","Piliocolobus_kirkii",1
"294","Piliocolobus_pennantii",1
"295","Piliocolobus_preussi",1
"296","Piliocolobus_rufomitratus",1
"297","Piliocolobus_tephrosceles",1
"298","Piliocolobus_tholloni",1
"299","Pithecia_aequatorialis",1
"300","Pithecia_albicans",1
"301","Pithecia_irrorata",1
"302","Pithecia_monachus",1
"303","Pithecia_pithecia",1
"304","Pongo_abelii",0
"305","Pongo_pygmaeus",0
"306","Presbytis_chrysomelas",1
"307","Presbytis_comata",1
"308","Presbytis_femoralis",1
"309","Presbytis_frontata",1
"310","Presbytis_hosei",1
"311","Presbytis_melalophos",1
